xor,data,eps,run,clean_test_acc,time,ok
6,400000,0.0,1,50.00%,96,0
6,400000,0.0,2,50.00%,32,0
6,400000,0.0,3,50.00%,91,0
6,400000,0.0,4,50.01%,86,0
6,400000,0.0,5,50.00%,32,0
6,400000,0.03,1,50.00%,97,0
6,400000,0.03,2,50.00%,31,0
6,400000,0.03,3,50.00%,99,0
6,400000,0.03,4,50.01%,26,0
6,400000,0.03,5,50.00%,96,0
6,400000,0.05,1,50.00%,32,0
6,400000,0.05,2,50.01%,97,0
6,400000,0.05,3,50.00%,31,0
6,400000,0.05,4,50.00%,99,0
6,400000,0.05,5,50.00%,31,0
