xor,data,run,acc,time,ok
2,10000,1,73.30%,1,0
2,10000,2,58.45%,1,0
2,10000,3,63.90%,1,0
2,10000,4,69.45%,1,0
2,10000,5,65.90%,1,0
2,10000,6,55.65%,1,0
2,10000,7,66.30%,1,0
2,10000,8,68.05%,1,0
2,10000,9,64.30%,1,0
2,10000,10,67.00%,1,0
2,25000,1,69.38%,2,0
2,25000,2,81.54%,1,0
2,25000,3,75.80%,1,0
2,25000,4,76.26%,1,0
2,25000,5,94.76%,1,1
2,25000,6,93.60%,2,1
2,25000,7,75.34%,1,0
2,25000,8,71.98%,1,0
2,25000,9,88.32%,2,0
2,25000,10,89.50%,2,0
2,50000,1,98.38%,3,1
2,50000,2,80.02%,2,0
2,50000,3,98.63%,3,1
2,50000,4,74.27%,3,0
2,50000,5,97.92%,3,1
2,50000,6,77.91%,3,0
2,50000,7,80.13%,3,0
2,50000,8,79.39%,3,0
2,50000,9,81.86%,3,0
2,50000,10,74.62%,3,0
2,100000,1,78.93%,6,0
2,100000,2,99.10%,6,1
2,100000,3,99.04%,6,1
2,100000,4,98.39%,6,1
2,100000,5,73.68%,6,0
2,100000,6,74.50%,6,0
2,100000,7,99.53%,6,1
2,100000,8,77.59%,6,0
2,100000,9,99.17%,6,1
2,100000,10,79.13%,6,0
