name,xor,data,val,test,time,ok
6XOR_200k,6,200000,51.4%,49.77%,14,0
6XOR_300k,6,300000,51.1%,49.97%,19,0
6XOR_400k,6,400000,99.5%,99.42%,86,1
6XOR_450k,6,450000,99.6%,99.47%,96,1
6XOR_500k,6,500000,99.6%,99.57%,110,1
6XOR_550k,6,550000,99.5%,99.57%,120,1
