name,xor,data,val,test,time,ok
8XOR_5.1M,8,5100000,99.5%,99.50%,1207,1
8XOR_5.2M,8,5200000,50.3%,49.99%,393,0
8XOR_5.3M,8,5300000,99.4%,99.43%,1334,1
8XOR_5.4M,8,5400000,50.4%,50.01%,407,0
10XOR_10M,10,10000000,0%,0%,0,0
10XOR_15M,10,15000000,0%,0%,0,0
