xor,data,run,acc,time,ok
9,10000000,1,50.01%,195,0
9,10000000,2,50.06%,195,0
9,10000000,3,99.53%,198,1
9,10000000,4,50.02%,193,0
9,10000000,5,49.98%,197,0
9,10000000,6,50.02%,739,0
9,10000000,7,49.95%,735,0
9,10000000,8,49.99%,724,0
9,10000000,9,50.04%,705,0
9,10000000,10,50.06%,695,0
