xor,data,run,acc,time,ok
9,7500000,1,50.04%,224,0
9,7500000,2,99.45%,219,1
9,7500000,3,99.29%,223,1
9,7500000,4,50.02%,224,0
9,7500000,5,49.93%,223,0
