xor,data,run,acc,time,ok
4,75000,1,71.77%,4,0
4,75000,2,92.15%,4,1
4,75000,3,96.82%,4,1
4,75000,4,97.65%,4,1
4,75000,5,94.92%,4,1
4,75000,6,93.33%,4,1
4,75000,7,97.21%,4,1
4,75000,8,93.60%,4,1
4,75000,9,58.31%,4,0
4,75000,10,96.97%,4,1
4,90000,1,97.92%,5,1
4,90000,2,97.03%,5,1
4,90000,3,98.32%,5,1
4,90000,4,58.91%,5,0
4,90000,5,97.55%,5,1
4,90000,6,97.51%,5,1
4,90000,7,94.63%,5,1
4,90000,8,97.56%,5,1
4,90000,9,97.09%,5,1
4,90000,10,74.54%,5,0
